code,symbol,minorUnit,name,descr
USD,$,2,US Dollar,United States Dollar
EUR,€,2,Euro,Euro Member Countries
GBP,£,2,Pound Sterling,United Kingdom Pound
JPY,¥,0,Japanese Yen,Japan Yen
AUD,A$,2,Australian Dollar,Australia Dollar
IDR,Rp,0,Indonesian Rupiah,Indonesia Rupiah
